,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Row,Col,Treatment,Concentration_uM,Cell_Death,Well,A,incubation_time,drug,Row_New,concentr,normalized_atp_1,plate,B,normalized_atp_2,C,normalized_atp_3,normalized_atp
89,89,89,313,N,1,DMSO,0,Healthy,N01,233160.0,28h,healthy,14,0.0,0.9285647856166788,1,,,,,0.9285647856166788
90,90,90,263,K,23,DMSO,0,Healthy,K23,279288.0,28h,healthy,11,0.0,1.112270551746916,1,,,,,1.112270551746916
91,91,91,200,I,8,DMSO,0,Ferroptosis,I08,263848.0,28h,healthy,9,0.0,1.0507804149742213,1,,,,,1.0507804149742213
92,92,92,252,K,12,DMSO,0,Ferroptosis,K12,301448.0,28h,healthy,11,0.0,1.2005232350942552,1,,,,,1.2005232350942552
93,93,93,176,H,8,DMSO,0,Apoptosis,H08,256456.0,28h,healthy,8,0.0,1.0213416137421123,1,,,,,1.0213416137421123
94,94,94,34,B,10,DMSO,0,Apoptosis,B10,247432.0,28h,healthy,2,0.0,0.9854033369133044,1,,,,,0.9854033369133044
95,95,95,215,I,23,DMSO,0,Healthy,I23,252664.0,28h,healthy,9,0.0,1.0062398910321346,1,,,,,1.0062398910321346
96,96,96,276,L,12,DMSO,0,Ferroptosis,L12,276208.0,28h,healthy,12,0.0,1.1000043845668708,1,,,,,1.1000043845668708
97,97,97,193,I,1,DMSO,0,Healthy,I01,268704.0,28h,healthy,9,0.0,1.0701195408918511,1,,,,,1.0701195408918511
98,98,98,228,J,12,DMSO,0,Ferroptosis,J12,255032.0,28h,healthy,10,0.0,1.0156705026822477,1,,,,,1.0156705026822477
99,99,99,216,I,24,Untreated,0,Healthy,I24,259928.0,28h,healthy,9,0.0,1.0351689294723454,1,,,,,1.0351689294723454
100,100,100,35,B,11,Untreated,0,Apoptosis,B11,278208.0,28h,healthy,2,0.0,1.1079694281902768,1,,,,,1.1079694281902768
101,101,101,275,L,11,Untreated,0,Ferroptosis,L11,307392.0,28h,healthy,12,0.0,1.224195344743018,1,,,,,1.224195344743018
102,102,102,218,J,2,Untreated,0,Healthy,J02,259136.0,28h,healthy,10,0.0,1.0320147721974766,1,,,,,1.0320147721974766
103,103,103,203,I,11,Untreated,0,Ferroptosis,I11,288808.0,28h,healthy,9,0.0,1.150184159394329,1,,,,,1.150184159394329
104,104,104,297,M,9,Untreated,0,Ferroptosis,M09,244824.0,28h,healthy,13,0.0,0.9750169200283828,1,,,,,0.9750169200283828
105,105,105,225,J,9,Untreated,0,Ferroptosis,J09,278848.0,28h,healthy,10,0.0,1.1105182421497668,1,,,,,1.1105182421497668
106,106,106,251,K,11,Untreated,0,Ferroptosis,K11,292952.0,28h,healthy,11,0.0,1.1666877297820264,1,,,,,1.1666877297820264
107,107,107,290,M,2,Untreated,0,Healthy,M02,257016.0,28h,healthy,13,0.0,1.0235718259566662,1,,,,,1.0235718259566662
108,108,108,144,F,24,Untreated,0,Healthy,F24,244632.0,28h,healthy,6,0.0,0.974252275840536,1,,,,,0.974252275840536
109,109,109,83,D,11,Untreated,0,Apoptosis,D11,263432.0,28h,healthy,4,0.0,1.0491236859005528,1,,,,,1.0491236859005528
110,110,110,48,B,24,Untreated,0,Healthy,B24,254248.0,28h,healthy,2,0.0,1.0125482055818722,1,,,,,1.0125482055818722
111,111,111,153,G,9,Untreated,0,Apoptosis,G09,279344.0,28h,healthy,7,0.0,1.1124935729683714,1,,,,,1.1124935729683714
112,112,112,314,N,2,Untreated,0,Healthy,N02,243664.0,28h,healthy,14,0.0,0.9703971947268072,1,,,,,0.9703971947268072
113,113,113,170,H,2,Untreated,0,Healthy,H02,259576.0,28h,healthy,8,0.0,1.0337670817946258,1,,,,,1.0337670817946258
114,114,114,27,B,3,Stauro,"0,04748",Apoptosis,B03,,28h,apoptosis,2,0.04748,,2,116416.0,0.46362925923122,,,0.46362925923122
115,115,115,28,B,4,Stauro,"0,02374",Apoptosis,B04,,28h,apoptosis,2,0.02374,,2,119336.0,0.4752582229213928,,,0.4752582229213928
116,116,116,29,B,5,Stauro,"0,01187",Apoptosis,B05,,28h,apoptosis,2,0.01187,,2,164808.0,0.6563514547431532,,,0.6563514547431532
117,117,117,30,B,6,Stauro,"0,005935",Apoptosis,B06,,28h,apoptosis,2,0.005935,,2,166792.0,0.6642527780175719,,,0.6642527780175719
118,118,118,37,B,13,Stauro,"0,04748",Apoptosis,B13,,28h,apoptosis,2,0.04748,,2,119856.0,0.4773291342634784,,,0.4773291342634784
119,119,119,38,B,14,Stauro,"0,02374",Apoptosis,B14,,28h,apoptosis,2,0.02374,,2,137808.0,0.5488233658271713,,,0.5488233658271713
120,120,120,39,B,15,Stauro,"0,01187",Apoptosis,B15,,28h,apoptosis,2,0.01187,,2,158928.0,0.6329342264903393,,,0.6329342264903393
121,121,121,40,B,16,Stauro,"0,005935",Apoptosis,B16,,28h,apoptosis,2,0.005935,,2,175896.0,0.7005096565913163,,,0.7005096565913163
122,122,122,41,B,17,Stauro,"0,0029675",Apoptosis,B17,,28h,apoptosis,2,0.0029675,,2,188912.0,0.752346160492443,,,0.752346160492443
123,123,123,42,B,18,Stauro,"0,04748",Apoptosis,B18,,28h,apoptosis,2,0.04748,,2,112792.0,0.4491966001856082,,,0.4491966001856082
124,124,124,43,B,19,Stauro,"0,02374",Apoptosis,B19,,28h,apoptosis,2,0.02374,,2,150224.0,0.5982703566412761,,,0.5982703566412761
125,125,125,44,B,20,Stauro,"0,01187",Apoptosis,B20,,28h,apoptosis,2,0.01187,,2,152288.0,0.6064902816606311,,,0.6064902816606311
126,126,126,45,B,21,Stauro,"0,005935",Apoptosis,B21,,28h,apoptosis,2,0.005935,,2,183616.0,0.7312547249776638,,,0.7312547249776638
127,127,127,46,B,22,Stauro,"0,0029675",Apoptosis,B22,,28h,apoptosis,2,0.0029675,,2,195696.0,0.7793635884630363,,,0.7793635884630363
128,128,128,51,C,3,Vinblastine,"0,00222",Apoptosis,C03,,28h,apoptosis,3,0.00222,,2,113768.0,0.4530835414738304,,,0.4530835414738304
